1000,1,6.32548 
1000,10,3.31264 
1000,25,2.47435 
1000,50,2.47208 
1000,75,2.39435 
1000,100,2.63315 
2000,1,17.337 
2000,10,6.96954 
2000,25,6.20198 
2000,50,4.80494 
2000,75,4.30665 
2000,100,4.9458 
3000,1,47.0864 
3000,10,11.498 
3000,25,9.71066 
3000,50,7.25844 
3000,75,7.24211 
3000,100,6.88108 
4000,1,121.686 
4000,10,16.5569 
4000,25,13.3746 
4000,50,12.2643 
4000,75,9.47425 
4000,100,9.60757 
5000,1,193.819 
5000,10,22.1466 
5000,25,17.1887 
5000,50,15.9668 
5000,75,12.207 
5000,100,12.0116 
6000,1,287.606 
6000,10,28.3295 
6000,25,21.3871 
6000,50,19.3382 
6000,75,18.9374 
6000,100,15.3069 
7000,1,401.71 
7000,10,36.1378 
7000,25,25.9007 
7000,50,22.9917 
7000,75,22.9844 
7000,100,18.8954 
8000,1,521.224 
8000,10,43.9057 
8000,25,33.7603 
8000,50,26.5962 
8000,75,25.5524 
8000,100,24.5019 
9000,1,668.46 
9000,10,50.4327 
9000,25,35.3697 
9000,50,30.4764 
9000,75,28.9302 
9000,100,29.6821 
10000,1,807.93 
10000,10,58.2522 
10000,25,40.8397 
10000,50,34.2417 
10000,75,33.7389 
10000,100,31.9763 
