1000,1,0.213097 
1000,10,0.312294 
1000,25,0.700933 
1000,50,1.25885 
1000,75,1.85815 
1000,100,2.429 
2000,1,0.56814 
2000,10,0.458118 
2000,25,0.74345 
2000,50,1.35869 
2000,75,1.92271 
2000,100,2.37576 
3000,1,1.12924 
3000,10,0.620009 
3000,25,0.847091 
3000,50,1.46465 
3000,75,2.01635 
3000,100,3.43526 
4000,1,1.86224 
4000,10,0.818537 
4000,25,0.998796 
4000,50,1.59987 
4000,75,2.14619 
4000,100,2.74177 
5000,1,35.6882 
5000,10,1.03837 
5000,25,1.11547 
5000,50,1.65861 
5000,75,2.2293 
5000,100,2.91592 
6000,1,51.4816 
6000,10,1.3711 
6000,25,1.2976 
6000,50,1.8306 
6000,75,2.39077 
6000,100,3.06045 
7000,1,69.7872 
7000,10,1.58445 
7000,25,1.44253 
7000,50,1.85993 
7000,75,2.40129 
7000,100,3.16774 
8000,1,91.8933 
8000,10,1.94005 
8000,25,1.59163 
8000,50,2.14032 
8000,75,2.53291 
8000,100,3.45331 
9000,1,115.733 
9000,10,2.2656 
9000,25,1.76194 
9000,50,2.14222 
9000,75,3.10776 
9000,100,3.35972 
10000,1,142.603 
10000,10,2.63504 
10000,25,1.99097 
10000,50,2.30985 
10000,75,2.891 
10000,100,3.76765 
